id,question_id,choice_text,is_correct
1,1,print(“Hello World!”),1
2,1,"print(“Hello, World”)",0
3,1,System.out.println(“HelloWorld!”),0
4,1,console.log(“Hello World”),0
5,2,System.out.println(10 + 9);,0
6,2,"print(“10 + 9 =”, 10 + 9)",0
7,2,X = 10 + 9; print(X),1
8,2,"X = 10 + 9; print(X, end=’’)",0
9,3,raio = float(input()); area = 3.14159 * (raio*raio); print(area),0
10,3,raio = float(input()); area = 3.14159 * raio; print(area),0
11,3,raio = float(input()); area = 3.14159 * (raio**2); print(area),1
12,3,raio = int(input()); area = 3.14159 * (raio**2); print(area),0
13,4,A = input(); B = input(); SOMA = A + B; print(SOMA),0
14,4,A = int(input()); B = int(input()); SOMA = A + B; print(f”SOMA: {SOMA}”),0
15,4,A = int(input()); B = int(input()); SOMA = A + B; print(SOMA),1
16,4,A = int(input()); B = int(input()); SOMA = A - B; print(SOMA),0
17,5,"A = int(input()); B = int(input()); PROD = A * B; print(“PROD =”, PROD)",1
18,5,A = int(input()); B = int(input()); PROD = A * B; print(PROD),0
19,5,"A = input(); B = input(); PROD = A * B; print(“PROD =”, PROD)",0
20,5,"A = int(input()); B = int(input()); PROD = A + B; print(“PROD =”, PROD)",0
21,6,A = float(input()); B = float(input()); MEDIA = (A7.5 + B3.5) / 11; print(f”MÉDIA = {MEDIA:.1f}”),0
22,6,A = int(input()); B = int(input()); MEDIA = (A3.5 + B7.5) / 11; print(f”MÉDIA = {MEDIA:.1f}”),0
23,6,A = float(input()); B = float(input()); MEDIA = (A + B) / 2; print(f”MÉDIA = {MEDIA:.1f}”),0
24,6,A = float(input()); B = float(input()); MEDIA = (A3.5 + B7.5) / 11; print(f”MÉDIA = {MEDIA:.1f}”),1
25,7,A = float(input()); B = float(input()); C = float(input()); MEDIA = (A + B + C) / 3; print(f”MÉDIA = {MEDIA:.1f}”),0
26,7,A = float(input()); B = float(input()); C = float(input()); MEDIA = (A2 + B3 + C*5) / 10; print(f”MÉDIA = {MEDIA:.1f}”),1
27,7,A = int(input()); B = int(input()); C = int(input()); MEDIA = (A2 + B3 + C*5) / 10; print(f”MÉDIA = {MEDIA:.1f}”),0
28,7,A = float(input()); B = float(input()); C = float(input()); MEDIA = (A5 + B3 + C*2) / 10; print(f”MÉDIA = {MEDIA:.1f}”),0
29,8,"A = int(input()); B = int(input()); C = int(input()); D = int(input()); DIFERENCA = (A + B - C * D); print(“DIFERENCA =”, DIFERENCA)",0
30,8,"A = int(input()); B = int(input()); C = int(input()); D = int(input()); DIFERENCA = (A * B + C * D); print(“DIFERENCA =”, DIFERENCA)",0
31,8,"A = int(input()); B = int(input()); C = int(input()); D = int(input()); DIFERENCA = (A * B - C * D); print(“DIFERENCA =”, DIFERENCA)",1
32,8,"A = int(input()); B = int(input()); C = int(input()); D = int(input()); DIFERENCA = (A * B - C - D); print(“DIFERENCA =”, DIFERENCA)",0
33,9,num = int(input()); horas = int(input()); valor_hora = float(input()); salario = horas + valor_hora; print(f”NUMBER = {num}\nSALARY = U$ {salario:.2f}”),0
34,9,num = int(input()); horas = int(input()); valor_hora = int(input()); salario = horas * valor_hora; print(f”NUMBER = {num}\nSALARY = U$ {salario:.2f}”) 0,0
35,9,num = int(input()); horas = int(input()); valor_hora = float(input()); salario = horas * valor_hora; print(f”NUMBER = {num}\nSALARY = U$ {salario:.2f}”),1
36,9,num = float(input()); horas = int(input()); valor_hora = float(input()); salario = horas * valor_hora; print(f”NUMBER = {num}\nSALARY = U$ {salario:.2f}”),0
37,10,nome = input(); salario_fixo = float(input()); vendas = float(input()); total = salario_fixo + vendas; print(f”TOTAL = R$ {total:.2f}”),0
38,10,nome = input(); salario_fixo = float(input()); vendas = float(input()); total = salario_fixo * 0.15 + vendas; print(f”TOTAL = R$ {total:.2f}”),0
39,10,nome = input(); salario_fixo = float(input()); vendas = float(input()); total = vendas * 0.15; print(f”TOTAL = R$ {total:.2f}”),0
40,10,nome = input(); salario_fixo = float(input()); vendas = float(input()); total = salario_fixo + (vendas * 0.15); print(f”TOTAL = R$ {total:.2f}”),1
41,11,"cod1, qtd1, valor1 = input().split(); cod2, qtd2, valor2 = input().split(); total = int(qtd1) * int(valor1) + int(qtd2) * int(valor2); print(f”VALOR A PAGAR: R$ {total:.2f}”)",0
42,11,"cod1, qtd1, valor1 = input().split(); cod2, qtd2, valor2 = input().split(); total = int(qtd1) * float(valor1) + int(qtd2) * float(valor2); print(f”VALOR A PAGAR: R$ {total:.2f}”)",1
43,11,"cod1, qtd1, valor1 = input().split(); cod2, qtd2, valor2 = input().split(); total = float(qtd1) * float(valor1) + float(qtd2) * float(valor2); print(f”VALOR A PAGAR: R$ {total:.2f}”)",0
44,11,"cod1, qtd1, valor1 = input().split(); cod2, qtd2, valor2 = input().split(); total = int(qtd1) + int(qtd2); print(f”VALOR A PAGAR: R$ {total:.2f}”)",0
45,12,R = float(input()); pi = 3.14159; volume = (4/3) * pi * (R**2); print(f”VOLUME = {volume:.3f}”),0
46,12,R = int(input()); pi = 3.14159; volume = (4/3) * pi * (R**3); print(f”VOLUME = {volume:.3f}”),0
47,12,R = float(input()); pi = 3.14159; volume = (4/3) * pi * (R*R); print(f”VOLUME = {volume:.3f}”),0
48,12,R = float(input()); pi = 3.14159; volume = (4/3) * pi * (R**3); print(f”VOLUME = {volume:.3f}”),1
49,13,"A, B, C = map(int, input().split()); pi = 3.14159; print(f”TRIANGULO: {(A * C / 2):.3f}\nCIRCULO: {(pi * C2):.3f}\nTRAPEZIO: {((A + B) * C / 2):.3f}\nQUADRADO: {(B2):.3f}\nRETANGULO: {(A * B):.3f}”)",0
50,13,"A, B, C = map(float, input().split()); pi = 3.14159; print(f”TRIANGULO: {(A + C / 2):.3f}\nCIRCULO: {(pi * C2):.3f}\nTRAPEZIO: {((A + B) * C / 2):.3f}\nQUADRADO: {(B2):.3f}\nRETANGULO: {(A * B):.3f}”)",0
51,13,"A, B, C = map(float, input().split()); pi = 3.14159; print(f”TRIANGULO: {(A * C / 2):.3f}\nCIRCULO: {(pi * C2):.3f}\nTRAPEZIO: {((A + B) * C / 2):.3f}\nQUADRADO: {(B2):.3f}\nRETANGULO: {(A * B):.3f}”)",1
52,13,"A, B, C = map(float, input().split()); pi = 3.14159; print(f”TRIANGULO: {(A * C / 2):.3f}\nCIRCULO: {(pi * C):.3f}\nTRAPEZIO: {((A + B) * C / 2):.3f}\nQUADRADO: {(B**2):.3f}\nRETANGULO: {(A * B):.3f}”)",0
53,14,distancia = float(input()); combustivel = float(input()); consumo = distancia / combustivel; print(f”{consumo:.3f} km/l”),1
54,14,distancia = int(input()); combustivel = int(input()); consumo = distancia / combustivel; print(f”{consumo:.3f} km/l”),0
55,14,distancia = float(input()); combustivel = float(input()); consumo = combustivel / distancia; print(f”{consumo:.3f} km/l”),0
56,14,distancia = float(input()); combustivel = float(input()); consumo = distancia * combustivel; print(f”{consumo:.3f} km/l”),0
57,15,distancia = int(input()); tempo = distancia / 2; print(f”{tempo} minutos”),0
58,15,distancia = int(input()); tempo = distancia * 2; print(f”{tempo} minutos”),1
59,15,distancia = int(input()); tempo = distancia * 60; print(f”{tempo} minutos”),0
60,15,distancia = int(input()); tempo = distancia * 1.5; print(f”{tempo} minutos”),0
61,16,tempo = int(input()); velocidade = int(input()); distancia = tempo * velocidade; litros = distancia / 12; print(f”{litros:.3f}”),1
